Fecha,Tasa
2020-02-18,1345641
2020-02-19,1345641
2020-02-20,1434840
2020-02-21,1434840
2020-02-26,1506462
2020-02-27,1589614
2020-02-28,1589614
2020-03-02,1589614
2020-03-03,1697205
2020-03-04,1697205
2020-03-05,1705519
2020-03-06,1705519
2020-03-09,1705519
2020-03-10,1649080
2020-03-11,1649080
2020-03-12,1592270
2020-03-13,1592270
2020-03-16,1592270
2020-03-17,1532270
2020-03-18,1532270
2020-03-19,1449513
2020-03-20,1449513
2020-03-25,1316463
2020-03-26,1269463
2020-03-27,1269463
2020-03-30,1269463
2020-04-01,1169463
2020-04-02,1169463
2020-04-03,1137350
2020-04-06,1137350
2020-04-07,1129193
2020-04-08,1119193
2020-04-13,1119193
2020-04-14,1299193
2020-04-15,1299193
2020-04-16,1316473
2020-04-17,1316473
2020-04-20,1316473
2020-04-21,1318477
2020-04-22,1318477
2020-04-23,1317367
2020-04-24,1317367
2020-04-27,1317367
2020-04-28,1286339
2020-04-29,1286339
2020-04-30,1187699
2020-05-04,1187699
2020-05-05,1220559
2020-05-06,1220559
2020-05-07,1219042
2020-05-08,1219042
2020-05-11,1219042
2020-05-12,1199697
2020-05-13,1199697
2020-05-14,1202557
2020-05-15,1202557
2020-05-18,1202557
2020-05-19,1337776
2020-05-20,1337776
2020-05-21,1337886
2020-05-22,1337886
2020-05-26,1337914
2020-05-27,1337914
2020-05-28,1338553
2020-05-29,1338553
2020-06-01,1338553
2020-06-02,1641295
2020-06-03,1641295
2020-06-04,1653435
2020-06-05,1653435
2020-06-08,1653435
2020-06-09,1671076
2020-06-10,1671076
2020-06-11,1673488
2020-06-12,1673488
2020-06-16,1667323
2020-06-17,1667323
2020-06-18,1682302
2020-06-19,1682302
2020-06-22,1682302
2020-06-23,1683302
2020-06-24,1683302
2020-06-25,1683302
2020-06-26,1683302
2020-06-29,1683302
2020-06-30,1683700
2020-07-01,1683700
2020-07-02,1708078
2020-07-03,1708078
2020-07-06,1708078
2020-07-07,1728741
2020-07-08,1709442
2020-07-13,1709442
2020-07-14,1717054
2020-07-15,1717054
2020-07-16,1717075
2020-07-17,1717075
2020-07-20,1717075
2020-07-21,1703191
2020-07-22,1703191
2020-07-23,1721191
2020-07-24,1721191
2020-07-27,1721191
2020-07-28,1686763
2020-07-29,1686763
2020-07-30,1672799
2020-07-31,1672799
2020-08-03,1672799
2020-08-04,1751014
2020-08-05,1751014
2020-08-06,1813427
2020-08-07,1813427
2020-08-10,1813427
2020-08-11,1848474
2020-08-12,1848474
2020-08-13,1877087
2020-08-14,1877087
2020-08-18,1857350
2020-08-19,1857350
2020-08-20,1874940
2020-08-21,1874940
2020-08-24,1874940
2020-08-25,1838514
2020-08-26,1838514
2020-08-27,1856751
2020-08-28,1856751
2020-08-31,1856751
2020-09-01,1834012
2020-09-02,1834012
2020-09-03,1856443
2020-09-04,1856443
2020-09-07,1856443
2020-09-08,1848241
2020-09-09,1848241
2020-09-10,1860884
2020-09-11,1860884
2020-09-14,1860884
2020-09-15,1844320
2020-09-16,1844320
2020-09-17,1878579
2020-09-18,1878579
2020-09-21,1878579
2020-09-22,1832023
2020-09-23,1832023
2020-09-24,1855480
2020-09-25,1855480
2020-09-28,1855480
2020-09-29,1842807
2020-09-30,1842807
2020-10-01,1797076
2020-10-02,1797076
2020-10-05,1797076
2020-10-06,1717371
2020-10-07,1717371
2020-10-08,1742648
2020-10-09,1742648
2020-10-13,1719923
2020-10-14,1719923
2020-10-15,1751321
2020-10-16,1751321
2020-10-19,1751321
